Indicador,Atual,2023,2022,2021,2020,2019,ticker
P/RECEITA (PSR),021,047,026,050,110,000,JSLG3
P/VP,097,213,112,163,291,000,JSLG3
DIVIDEND YIELD (DY),-,"2,55%","8,21%","3,90%","0,00%","0,00%",JSLG3
PAYOUT,"35,25%","45,02%","55,36%","14,25%","0,00%","0,00%",JSLG3
MARGEM LÍQUIDA,"2,95%","4,64%","3,22%","6,30%","6,39%","2,82%",JSLG3
MARGEM BRUTA,"17,75%","18,38%","17,29%","15,38%","10,67%","20,42%",JSLG3
MARGEM EBIT,"14,11%","16,92%","12,77%","12,20%","6,61%","12,24%",JSLG3
MARGEM EBITDA,"20,68%","22,81%","12,97%","17,65%","25,96%","24,42%",JSLG3
EV/EBITDA,430,529,701,679,679,741,JSLG3
EV/EBIT,631,713,712,982,2667,1479,JSLG3
P/EBITDA,100,206,202,285,422,000,JSLG3
P/EBIT,146,278,205,412,1660,000,JSLG3
P/ATIVO,014,030,019,030,064,000,JSLG3
P/CAP.GIRO,088,221,244,149,325,000,JSLG3
P/ATIVO CIRC LIQ,-023,-045,-027,-048,-105,000,JSLG3
VPA,649,585,493,462,372,470,JSLG3
LPA,090,123,068,095,063,079,JSLG3
GIRO ATIVOS,068,064,073,060,058,040,JSLG3
ROE,"13,84%","20,99%","13,74%","20,46%","16,95%","16,79%",JSLG3
ROIC,"11,69%","13,76%","11,99%","9,00%","4,35%","5,63%",JSLG3
ROA,"2,01%","2,96%","2,36%","3,83%","2,71%","1,57%",JSLG3
DÍVIDA LÍQUIDA / EBITDA,330,322,499,394,256,741,JSLG3
DÍVIDA LÍQUIDA / EBIT,484,435,507,571,1007,1479,JSLG3
DÍVIDA BRUTA / PATRIMÔNIO,451,445,338,298,238,1077,JSLG3
PATRIMÔNIO / ATIVOS,015,014,017,019,022,007,JSLG3
PASSIVOS / ATIVOS,085,086,083,081,078,088,JSLG3
LIQUIDEZ CORRENTE,174,168,137,219,201,190,JSLG3
CAGR RECEITAS 5 ANOS,"1,72%","-1,27%","-3,66%","-8,61%","-13,95%","7,67%",JSLG3
CAGR LUCROS 5 ANOS,"-4,17%","13,21%","63,30%",-%,"22,94%","34,48%",JSLG3
P/L,-6390,6856,924,2591,13376,20102,LOGN3
P/RECEITA (PSR),081,176,182,181,154,213,LOGN3
P/VP,227,439,429,555,490,706,LOGN3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",LOGN3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",LOGN3
MARGEM LÍQUIDA,"-1,27%","2,57%","19,68%","6,98%","1,15%","1,06%",LOGN3
MARGEM BRUTA,"14,46%","19,97%","23,59%","20,75%","20,68%","18,82%",LOGN3
MARGEM EBIT,"10,64%","14,58%","19,35%","17,65%","17,12%","16,39%",LOGN3
MARGEM EBITDA,"20,87%","24,31%","27,87%","26,42%","26,57%","25,77%",LOGN3
EV/EBITDA,632,912,815,925,806,1044,LOGN3
EV/EBIT,1240,1521,1174,1385,1252,1641,LOGN3
P/EBITDA,389,725,652,685,579,825,LOGN3
P/EBIT,764,1208,939,1025,899,1297,LOGN3
P/ATIVO,057,114,109,104,079,117,LOGN3
P/CAP.GIRO,1017,1046,971,532,-558,385,LOGN3
P/ATIVO CIRC LIQ,-077,-164,-158,-171,-082,-224,LOGN3
VPA,874,877,818,425,330,296,LOGN3
LPA,-031,056,380,091,012,010,LOGN3
GIRO ATIVOS,070,065,060,057,051,055,LOGN3
ROE,"-3,55%","6,40%","46,45%","21,42%","3,66%","3,51%",LOGN3
ROIC,"8,41%","10,00%","10,09%","12,56%","9,07%","10,04%",LOGN3
ROA,"-0,89%","1,66%","11,79%","4,00%","0,59%","0,58%",LOGN3
DÍVIDA LÍQUIDA / EBITDA,243,187,163,240,227,219,LOGN3
DÍVIDA LÍQUIDA / EBIT,477,312,235,360,353,344,LOGN3
DÍVIDA BRUTA / PATRIMÔNIO,179,173,174,328,393,396,LOGN3
PATRIMÔNIO / ATIVOS,025,026,025,019,016,017,LOGN3
PASSIVOS / ATIVOS,075,074,075,081,148,083,LOGN3
LIQUIDEZ CORRENTE,126,155,157,197,025,276,LOGN3
CAGR RECEITAS 5 ANOS,"19,95%","19,06%","18,84%","11,96%","1,33%","1,55%",LOGN3
CAGR LUCROS 5 ANOS,-,"58,22%",-%,"0,73%",-%,-%,LOGN3
P/L,-600,17021,-21062,-675,-4971,000,HBSA3
P/RECEITA (PSR),133,156,097,205,359,000,HBSA3
P/VP,168,217,129,183,344,000,HBSA3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",HBSA3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",HBSA3
MARGEM LÍQUIDA,"-22,21%","0,91%","-0,46%","-30,40%","-7,22%","6,25%",HBSA3
MARGEM BRUTA,"19,02%","35,43%","34,97%","21,04%","25,48%","33,28%",HBSA3
MARGEM EBIT,"-1,55%","20,28%","17,94%","7,68%","13,86%","28,22%",HBSA3
MARGEM EBITDA,"20,00%","36,96%","34,11%","30,55%","28,59%","47,93%",HBSA3
EV/EBITDA,1834,911,918,1927,1956,459,HBSA3
EV/EBIT,-23722,1660,1745,7669,4035,780,HBSA3
P/EBITDA,667,421,285,672,1255,000,HBSA3
P/EBIT,-8626,768,542,2673,2589,000,HBSA3
P/ATIVO,034,048,027,035,092,000,HBSA3
P/CAP.GIRO,-652,519,288,367,535,000,HBSA3
P/ATIVO CIRC LIQ,-042,-061,-034,-043,-122,000,HBSA3
VPA,173,182,175,164,201,203,HBSA3
LPA,-048,002,-001,-045,-014,008,HBSA3
GIRO ATIVOS,025,031,028,017,026,020,HBSA3
ROE,"-27,90%","1,27%","-0,61%","-27,18%","-6,92%","3,80%",HBSA3
ROIC,"-2,60%","5,85%","3,83%","0,73%","2,37%","5,01%",HBSA3
ROA,"-5,65%","0,28%","-0,13%","-5,26%","-1,85%","1,24%",HBSA3
DÍVIDA LÍQUIDA / EBITDA,1167,490,633,1256,701,459,HBSA3
DÍVIDA LÍQUIDA / EBIT,-15096,892,1203,4996,1446,780,HBSA3
DÍVIDA BRUTA / PATRIMÔNIO,351,311,342,396,260,196,HBSA3
PATRIMÔNIO / ATIVOS,020,022,021,019,027,033,HBSA3
PASSIVOS / ATIVOS,080,078,079,081,073,067,HBSA3
LIQUIDEZ CORRENTE,079,178,186,204,320,386,HBSA3
CAGR RECEITAS 5 ANOS,"12,01%","8,87%","17,46%","23,22%",-%,-%,HBSA3
CAGR LUCROS 5 ANOS,-,"-35,86%",-%,-%,-%,-%,HBSA3
P/L,668,696,1011,2359,2845,1351,MRSA3B
P/RECEITA (PSR),132,129,158,297,340,212,MRSA3B
P/VP,127,131,160,271,284,166,MRSA3B
DIVIDEND YIELD (DY),-,"2,38%","1,80%","0,74%","0,93%","3,49%",MRSA3B
PAYOUT,"14,58%","17,30%","19,01%","18,32%","27,78%","43,44%",MRSA3B
MARGEM LÍQUIDA,"19,77%","18,61%","15,63%","12,60%","11,94%","15,73%",MRSA3B
MARGEM BRUTA,"45,80%","46,40%","42,13%","34,24%","30,16%","25,71%",MRSA3B
MARGEM EBIT,"37,86%","39,04%","32,01%","31,83%","26,71%","32,57%",MRSA3B
MARGEM EBITDA,"51,49%","53,17%","50,87%","55,70%","55,84%","61,36%",MRSA3B
EV/EBITDA,366,340,414,665,649,405,MRSA3B
EV/EBIT,498,463,658,1164,1356,762,MRSA3B
P/EBITDA,257,244,311,534,608,346,MRSA3B
P/EBIT,349,332,494,934,1271,652,MRSA3B
P/ATIVO,053,046,061,098,110,063,MRSA3B
P/CAP.GIRO,1309,650,-1369,4678,-4595,70613,MRSA3B
P/ATIVO CIRC LIQ,-065,-062,-071,-122,-132,-077,MRSA3B
VPA,2210,1878,1622,1426,1268,1207,MRSA3B
LPA,419,353,257,164,127,148,MRSA3B
GIRO ATIVOS,040,036,038,033,032,030,MRSA3B
ROE,"18,95%","18,79%","15,86%","11,51%","9,98%","12,27%",MRSA3B
ROIC,"15,35%","14,63%","14,57%","11,59%","10,23%","11,00%",MRSA3B
ROA,"7,89%","6,64%","6,02%","5,21%","3,87%","4,69%",MRSA3B
DÍVIDA LÍQUIDA / EBITDA,102,102,122,101,089,122,MRSA3B
DÍVIDA LÍQUIDA / EBIT,138,138,194,176,185,230,MRSA3B
DÍVIDA BRUTA / PATRIMÔNIO,080,108,079,089,069,075,MRSA3B
PATRIMÔNIO / ATIVOS,042,035,038,036,039,038,MRSA3B
PASSIVOS / ATIVOS,058,065,062,064,061,062,MRSA3B
LIQUIDEZ CORRENTE,127,138,076,112,088,101,MRSA3B
CAGR RECEITAS 5 ANOS,"17,62%","11,59%","9,87%","6,19%","2,59%",-%,MRSA3B
CAGR LUCROS 5 ANOS,"23,12%","18,13%","13,64%","10,87%","7,78%",-%,MRSA3B
P/L,317,-2305,2479,3204,217,-154,TPIS3
P/RECEITA (PSR),021,018,014,032,042,030,TPIS3
P/VP,029,021,017,037,046,042,TPIS3
DIVIDEND YIELD (DY),-,"4,38%","2,08%","2,15%","0,00%","0,00%",TPIS3
PAYOUT,"2,38%","-25,25%","51,47%","68,77%","0,00%","0,00%",TPIS3
MARGEM LÍQUIDA,"6,51%","-0,78%","0,57%","1,01%","19,54%","-19,42%",TPIS3
MARGEM BRUTA,"33,57%","19,28%","29,66%","12,77%","9,07%","11,81%",TPIS3
MARGEM EBIT,"11,06%","-9,11%","21,84%","4,35%","23,87%","-4,46%",TPIS3
MARGEM EBITDA,"25,80%","8,42%","34,04%","39,30%","64,20%","39,74%",TPIS3
EV/EBITDA,472,1902,461,475,345,548,TPIS3
EV/EBIT,1102,-1758,718,4290,928,-4885,TPIS3
P/EBITDA,080,213,041,082,066,075,TPIS3
P/EBIT,186,-197,065,740,177,-673,TPIS3
P/ATIVO,010,007,005,011,012,008,TPIS3
P/CAP.GIRO,-119,-053,-041,-091,-061,-016,TPIS3
P/ATIVO CIRC LIQ,-010,-007,-006,-011,-013,-008,TPIS3
VPA,2144,2040,518,514,510,407,TPIS3
LPA,193,-018,004,006,108,-109,TPIS3
GIRO ATIVOS,047,037,038,033,029,026,TPIS3
ROE,"9,02%","-0,89%","0,70%","1,17%","21,09%","-26,92%",TPIS3
ROIC,"4,51%","-7,32%","6,06%","0,35%","6,79%","-5,74%",TPIS3
ROA,"3,13%","-0,37%","0,22%","0,16%","5,01%","-5,78%",TPIS3
DÍVIDA LÍQUIDA / EBITDA,392,1689,419,393,279,473,TPIS3
DÍVIDA LÍQUIDA / EBIT,915,-1561,653,3550,751,-4212,TPIS3
DÍVIDA BRUTA / PATRIMÔNIO,147,170,183,188,201,276,TPIS3
PATRIMÔNIO / ATIVOS,034,032,031,029,027,019,TPIS3
PASSIVOS / ATIVOS,066,068,069,071,073,111,TPIS3
LIQUIDEZ CORRENTE,045,033,028,031,022,011,TPIS3
CAGR RECEITAS 5 ANOS,"5,70%","-2,92%","-5,55%","-7,47%","-17,25%","-10,51%",TPIS3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,"-1,95%",-%,TPIS3
P/L,-128,-079,-028,-341,-189,000,VSPT3
P/RECEITA (PSR),018,020,023,007,008,000,VSPT3
P/VP,053,066,036,005,004,000,VSPT3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",VSPT3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",VSPT3
MARGEM LÍQUIDA,"-14,35%","-25,97%","-83,37%","-2,17%","-4,23%","-4,08%",VSPT3
MARGEM BRUTA,"21,10%","15,78%","-4,40%","5,10%","11,19%","5,40%",VSPT3
MARGEM EBIT,"-8,21%","-17,15%","-59,38%","-8,09%","2,85%","0,24%",VSPT3
MARGEM EBITDA,"12,25%","7,88%","-20,98%","28,45%","37,93%","34,24%",VSPT3
EV/EBITDA,311,594,-216,002,-014,-014,VSPT3
EV/EBIT,-465,-273,-076,-009,-191,-1967,VSPT3
P/EBITDA,150,260,-112,026,021,000,VSPT3
P/EBIT,-223,-119,-039,-092,279,000,VSPT3
P/ATIVO,012,013,011,003,002,000,VSPT3
P/CAP.GIRO,-153,-127,-211,-034,-058,000,VSPT3
P/ATIVO CIRC LIQ,-014,-015,-013,-003,-003,000,VSPT3
VPA,952,754,1388,3168,3599,3384,VSPT3
LPA,-391,-635,-1780,-044,-080,-069,VSPT3
GIRO ATIVOS,063,063,046,034,030,027,VSPT3
ROE,"-41,10%","-84,25%","-128,19%","-1,39%","-2,21%","-2,04%",VSPT3
ROIC,"-13,28%","-27,48%","-74,25%","-6,16%","0,59%","-0,88%",VSPT3
ROA,"-9,11%","-16,24%","-38,63%","-4,89%","-1,28%","-1,11%",VSPT3
DÍVIDA LÍQUIDA / EBITDA,162,334,-105,-024,-035,-014,VSPT3
DÍVIDA LÍQUIDA / EBIT,-241,-154,-037,083,-470,-1967,VSPT3
DÍVIDA BRUTA / PATRIMÔNIO,084,103,056,000,000,000,VSPT3
PATRIMÔNIO / ATIVOS,022,019,030,053,058,054,VSPT3
PASSIVOS / ATIVOS,078,081,070,047,042,046,VSPT3
LIQUIDEZ CORRENTE,068,055,072,049,069,061,VSPT3
CAGR RECEITAS 5 ANOS,"10,01%","7,66%","7,49%","11,60%","10,22%",-%,VSPT3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,VSPT3
P/L,974,6447,649,439,-484,1065,MYPK3
P/RECEITA (PSR),012,013,011,017,027,036,MYPK3
P/VP,044,054,046,058,069,111,MYPK3
DIVIDEND YIELD (DY),"5,08%","2,34%","7,07%","6,55%","4,28%","0,79%",MYPK3
PAYOUT,"7,12%","367,40%","77,42%","0,00%","-26,54%","33,15%",MYPK3
MARGEM LÍQUIDA,"1,27%","0,21%","1,65%","3,92%","-5,61%","3,37%",MYPK3
MARGEM BRUTA,"11,53%","10,09%","10,67%","12,45%","6,45%","11,83%",MYPK3
MARGEM EBIT,"6,35%","5,23%","7,35%","9,36%","-2,11%","6,75%",MYPK3
MARGEM EBITDA,"9,63%","8,38%","10,07%","13,20%","4,22%","10,94%",MYPK3
EV/EBITDA,398,462,352,376,1594,548,MYPK3
EV/EBIT,603,739,482,531,-3193,889,MYPK3
P/EBITDA,128,158,106,131,644,328,MYPK3
P/EBIT,194,253,145,184,-1290,531,MYPK3
P/ATIVO,012,014,012,016,019,038,MYPK3
P/CAP.GIRO,069,068,058,140,294,464,MYPK3
P/ATIVO CIRC LIQ,-023,-028,-025,-031,-033,-060,MYPK3
VPA,2694,2403,2550,2629,2252,2100,MYPK3
LPA,123,020,181,349,-320,220,MYPK3
GIRO ATIVOS,097,103,112,094,071,107,MYPK3
ROE,"4,56%","0,83%","7,12%","13,29%","-14,20%","10,45%",MYPK3
ROIC,"7,29%","5,96%","9,83%","9,94%","-2,19%","9,40%",MYPK3
ROA,"1,96%","0,73%","2,66%","4,32%","-3,38%","4,49%",MYPK3
DÍVIDA LÍQUIDA / EBITDA,270,304,246,246,950,220,MYPK3
DÍVIDA LÍQUIDA / EBIT,409,486,336,347,-1903,357,MYPK3
DÍVIDA BRUTA / PATRIMÔNIO,150,183,165,137,148,095,MYPK3
PATRIMÔNIO / ATIVOS,027,025,026,028,028,034,MYPK3
PASSIVOS / ATIVOS,070,072,072,070,069,063,MYPK3
LIQUIDEZ CORRENTE,156,163,165,133,119,130,MYPK3
CAGR RECEITAS 5 ANOS,"8,28%","9,23%","17,75%","14,96%","5,05%","11,12%",MYPK3
CAGR LUCROS 5 ANOS,"-6,58%","-19,13%","38,19%","47,72%",-%,"28,99%",MYPK3
P/L,632,640,738,736,2282,1507,LEVE3
P/RECEITA (PSR),087,110,099,115,118,155,LEVE3
P/VP,333,526,265,243,211,299,LEVE3
DIVIDEND YIELD (DY),"8,65%","27,96%","14,60%","4,79%","0,44%","7,49%",LEVE3
PAYOUT,"56,82%","191,08%","100,77%","22,21%","10,11%","112,87%",LEVE3
MARGEM LÍQUIDA,"13,74%","17,25%","13,38%","15,68%","5,18%","10,25%",LEVE3
MARGEM BRUTA,"29,73%","29,31%","26,83%","27,50%","26,09%","25,35%",LEVE3
MARGEM EBIT,"19,60%","18,81%","17,07%","19,99%","8,06%","13,67%",LEVE3
MARGEM EBITDA,"21,97%","21,15%","19,34%","22,77%","12,34%","17,45%",LEVE3
EV/EBITDA,452,581,515,496,945,942,LEVE3
EV/EBIT,506,653,583,565,1448,1202,LEVE3
P/EBITDA,395,522,511,507,958,885,LEVE3
P/EBIT,443,587,578,578,1468,1130,LEVE3
P/ATIVO,113,171,133,142,102,168,LEVE3
P/CAP.GIRO,326,780,473,551,506,766,LEVE3
P/ATIVO CIRC LIQ,-317,-425,-344,-312,-233,-317,LEVE3
VPA,818,672,1160,1265,995,962,LEVE3
LPA,432,552,417,418,092,191,LEVE3
GIRO ATIVOS,130,155,135,123,086,109,LEVE3
ROE,"52,72%","82,19%","35,94%","33,06%","9,24%","19,87%",LEVE3
ROIC,"28,80%","34,69%","28,07%","28,97%","9,34%","17,25%",LEVE3
ROA,"17,87%","26,70%","17,95%","19,27%","4,37%","11,02%",LEVE3
DÍVIDA LÍQUIDA / EBITDA,056,059,004,-011,-013,057,LEVE3
DÍVIDA LÍQUIDA / EBIT,063,066,005,-012,-021,072,LEVE3
DÍVIDA BRUTA / PATRIMÔNIO,092,098,029,016,042,032,LEVE3
PATRIMÔNIO / ATIVOS,034,033,050,058,048,056,LEVE3
PASSIVOS / ATIVOS,066,067,050,042,052,044,LEVE3
LIQUIDEZ CORRENTE,216,158,185,190,155,187,LEVE3
CAGR RECEITAS 5 ANOS,"11,00%","10,86%","13,28%","10,09%","-0,25%","1,60%",LEVE3
CAGR LUCROS 5 ANOS,"17,91%","20,60%","20,14%","167,20%","-6,62%","5,46%",LEVE3
P/L,-052,-12650,-122,-109,-060,-1357,PLAS3
P/RECEITA (PSR),007,010,014,022,019,023,PLAS3
P/VP,-015,-022,-029,-043,-037,-128,PLAS3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",PLAS3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",PLAS3
MARGEM LÍQUIDA,"-12,91%","-0,08%","-11,45%","-19,95%","-31,69%","-1,67%",PLAS3
MARGEM BRUTA,"15,73%","12,22%","14,15%","7,56%","-1,27%","7,68%",PLAS3
MARGEM EBIT,"1,24%","5,30%","0,70%","-6,67%","-22,66%","1,56%",PLAS3
MARGEM EBITDA,"6,46%","10,49%","5,04%","-0,96%","-12,43%","11,74%",PLAS3
EV/EBITDA,441,372,932,-5381,-480,566,PLAS3
EV/EBIT,2300,735,6664,-773,-263,4253,PLAS3
P/EBITDA,104,091,276,-2280,-153,193,PLAS3
P/EBIT,542,181,1977,-327,-084,1453,PLAS3
P/ATIVO,011,013,016,022,012,015,PLAS3
P/CAP.GIRO,-025,-034,-032,-052,-066,-052,PLAS3
P/ATIVO CIRC LIQ,-017,-020,-024,-032,-016,-019,PLAS3
VPA,-4004,-3294,-3288,-2507,-1523,-581,PLAS3
LPA,-1127,-006,-782,-984,-942,-055,PLAS3
GIRO ATIVOS,161,139,117,099,061,065,PLAS3
ROE,"-28,15%","-0,18%","-23,77%","-39,25%","-61,83%","-9,45%",PLAS3
ROIC,"-5,58%","7,41%","-4,21%","35,03%","1.553,41%","3,80%",PLAS3
ROA,"-20,77%","-0,11%","-13,39%","-19,76%","-19,34%","-1,08%",PLAS3
DÍVIDA LÍQUIDA / EBITDA,337,280,655,-3101,-327,373,PLAS3
DÍVIDA LÍQUIDA / EBIT,1759,554,4687,-445,-179,2800,PLAS3
DÍVIDA BRUTA / PATRIMÔNIO,-053,-072,-075,-062,-097,-271,PLAS3
PATRIMÔNIO / ATIVOS,-074,-060,-056,-050,-031,-011,PLAS3
PASSIVOS / ATIVOS,174,160,156,150,131,111,PLAS3
LIQUIDEZ CORRENTE,045,045,039,044,061,044,PLAS3
CAGR RECEITAS 5 ANOS,"21,63%","22,25%","16,86%","11,76%","-5,14%","-9,15%",PLAS3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,PLAS3
P/L,1865,1796,8834,6942,9188,2420,LUXM4
P/RECEITA (PSR),199,243,720,755,740,264,LUXM4
P/VP,201,276,932,1016,821,310,LUXM4
DIVIDEND YIELD (DY),"1,77%","3,72%","0,85%","1,96%","7,30%","7,20%",LUXM4
PAYOUT,"18,37%","37,27%","69,84%","126,66%","624,33%","162,12%",LUXM4
MARGEM LÍQUIDA,"10,66%","13,54%","8,15%","10,88%","8,05%","10,91%",LUXM4
MARGEM BRUTA,"30,00%","31,76%","27,85%","31,59%","24,64%","27,46%",LUXM4
MARGEM EBIT,"16,06%","19,72%","14,28%","17,97%","12,85%","31,11%",LUXM4
MARGEM EBITDA,"26,85%","29,41%","25,15%","29,41%","28,38%","31,45%",LUXM4
EV/EBITDA,415,435,683,645,712,270,LUXM4
EV/EBIT,694,649,1203,1055,1572,273,LUXM4
P/EBITDA,741,827,2865,2567,2607,840,LUXM4
P/EBIT,1238,1233,5046,4200,5756,849,LUXM4
P/ATIVO,147,195,638,634,505,166,LUXM4
P/CAP.GIRO,25579,-10530,-80721,-78671,4381,2533,LUXM4
P/ATIVO CIRC LIQ,-167,-226,-759,-787,-672,-247,LUXM4
VPA,627,580,879,807,780,838,LUXM4
LPA,068,089,093,118,070,107,LUXM4
GIRO ATIVOS,074,080,089,084,068,063,LUXM4
ROE,"10,76%","15,35%","10,55%","14,64%","8,93%","12,82%",LUXM4
ROIC,"10,07%","14,64%","9,27%","13,77%","7,94%","22,57%",LUXM4
ROA,"7,88%","10,84%","7,22%","9,14%","5,49%","6,88%",LUXM4
DÍVIDA LÍQUIDA / EBITDA,-007,-026,-012,006,012,069,LUXM4
DÍVIDA LÍQUIDA / EBIT,-011,-039,-022,011,026,069,LUXM4
DÍVIDA BRUTA / PATRIMÔNIO,005,003,008,018,027,031,LUXM4
PATRIMÔNIO / ATIVOS,073,071,068,062,061,054,LUXM4
PASSIVOS / ATIVOS,027,029,032,038,039,052,LUXM4
LIQUIDEZ CORRENTE,105,088,095,096,186,125,LUXM4
CAGR RECEITAS 5 ANOS,"2,02%","1,03%","6,11%","7,08%","7,04%","13,39%",LUXM4
CAGR LUCROS 5 ANOS,"1,56%","24,31%","23,60%","9,67%","-0,09%","26,13%",LUXM4
P/L,1135,2762,1803,1226,1721,868,WHRL4
P/RECEITA (PSR),051,061,070,106,132,199,WHRL4
P/VP,256,356,345,571,637,511,WHRL4
DIVIDEND YIELD (DY),"9,71%","8,09%","4,12%","8,07%","16,35%","5,61%",WHRL4
PAYOUT,"149,40%","209,48%","69,60%","92,83%","263,91%","45,64%",WHRL4
MARGEM LÍQUIDA,"4,49%","2,19%","3,86%","8,61%","7,69%","22,92%",WHRL4
MARGEM BRUTA,"17,22%","17,11%","15,65%","17,71%","20,20%","16,88%",WHRL4
MARGEM EBIT,"16,85%","18,74%","6,99%","9,64%","10,57%","9,13%",WHRL4
MARGEM EBITDA,"18,20%","19,95%","8,81%","11,09%","12,27%","22,88%",WHRL4
EV/EBITDA,203,261,724,941,1030,887,WHRL4
EV/EBIT,219,278,913,1083,1195,2224,WHRL4
P/EBITDA,280,304,790,953,1079,870,WHRL4
P/EBIT,303,323,996,1096,1253,2180,WHRL4
P/ATIVO,066,077,089,131,173,202,WHRL4
P/CAP.GIRO,1349,11651,3191,2806,1668,949,WHRL4
P/ATIVO CIRC LIQ,-225,-264,-305,-547,-730,-888,WHRL4
VPA,166,130,145,140,128,201,WHRL4
LPA,037,017,028,065,047,118,WHRL4
GIRO ATIVOS,129,127,128,124,130,101,WHRL4
ROE,"22,52%","12,91%","19,15%","46,54%","37,01%","58,89%",WHRL4
ROIC,"55,23%","54,94%","18,81%","27,63%","31,92%","9,02%",WHRL4
ROA,"12,03%","9,47%","4,96%","10,71%","10,05%","23,27%",WHRL4
DÍVIDA LÍQUIDA / EBITDA,-075,-032,-042,094,026,034,WHRL4
DÍVIDA LÍQUIDA / EBIT,-081,-034,-052,108,030,084,WHRL4
DÍVIDA BRUTA / PATRIMÔNIO,037,072,052,056,015,020,WHRL4
PATRIMÔNIO / ATIVOS,026,022,026,023,027,039,WHRL4
PASSIVOS / ATIVOS,074,078,074,077,073,060,WHRL4
LIQUIDEZ CORRENTE,107,101,104,107,116,138,WHRL4
CAGR RECEITAS 5 ANOS,"10,11%","13,15%","2,63%","4,30%","-0,28%","-4,33%",WHRL4
CAGR LUCROS 5 ANOS,"-8,09%","37,45%","-0,42%","25,39%","19,66%","20,00%",WHRL4
P/L,1215,3336,3805,4227,28974,8151,AZZA3
P/RECEITA (PSR),101,275,382,463,885,787,AZZA3
P/VP,082,458,609,996,1044,1771,AZZA3
DIVIDEND YIELD (DY),"3,48%","2,37%","2,35%","0,86%","0,78%","2,08%",AZZA3
PAYOUT,"21,04%","117,48%","69,51%","17,87%","308,53%","173,94%",AZZA3
MARGEM LÍQUIDA,"8,29%","8,24%","10,03%","10,95%","3,05%","9,66%",AZZA3
MARGEM BRUTA,"53,65%","54,24%","53,94%","52,24%","47,47%","46,19%",AZZA3
MARGEM EBIT,"11,72%","11,53%","12,99%","14,89%","5,79%","13,29%",AZZA3
MARGEM EBITDA,"16,51%","16,13%","16,92%","17,97%","10,89%","18,07%",AZZA3
EV/EBITDA,770,1747,2246,2658,8472,4410,AZZA3
EV/EBIT,1085,2444,2924,3209,15931,5998,AZZA3
P/EBITDA,610,1705,2256,2576,8128,4355,AZZA3
P/EBIT,859,2385,2937,3111,15284,5923,AZZA3
P/ATIVO,043,223,347,471,497,935,AZZA3
P/CAP.GIRO,222,2140,2160,12405,2154,2561,AZZA3
P/ATIVO CIRC LIQ,-078,-435,-710,-922,-1111,-3055,AZZA3
VPA,3809,1409,1285,771,653,361,AZZA3
LPA,257,193,206,182,024,079,AZZA3
GIRO ATIVOS,043,081,091,102,056,119,AZZA3
ROE,"6,75%","13,73%","16,00%","23,55%","3,60%","21,73%",AZZA3
ROIC,"7,15%","13,43%","16,36%","21,01%","4,30%","19,46%",AZZA3
ROA,"3,54%","6,67%","9,07%","11,09%","1,72%","11,47%",AZZA3
DÍVIDA LÍQUIDA / EBITDA,160,042,-010,081,344,055,AZZA3
DÍVIDA LÍQUIDA / EBIT,226,059,-014,098,647,075,AZZA3
DÍVIDA BRUTA / PATRIMÔNIO,031,037,015,034,047,024,AZZA3
PATRIMÔNIO / ATIVOS,053,049,057,047,048,053,AZZA3
PASSIVOS / ATIVOS,047,051,043,053,052,047,AZZA3
LIQUIDEZ CORRENTE,178,127,146,108,172,211,AZZA3
CAGR RECEITAS 5 ANOS,"30,68%","25,99%","25,49%","22,54%","7,26%","9,79%",AZZA3
CAGR LUCROS 5 ANOS,"26,62%","22,82%","22,29%","26,31%","-16,49%","7,54%",AZZA3
P/L,744,1374,1687,1346,1675,1942,HYPE3
P/RECEITA (PSR),150,286,379,302,531,686,HYPE3
P/VP,096,197,269,182,235,260,HYPE3
DIVIDEND YIELD (DY),"5,82%","3,53%","2,73%","4,36%","3,43%","1,57%",HYPE3
PAYOUT,-,"11,83%","80,57%","55,86%","27,37%","22,28%",HYPE3
MARGEM LÍQUIDA,"20,16%","20,82%","22,48%","22,40%","31,67%","35,33%",HYPE3
MARGEM BRUTA,"60,95%","63,12%","63,10%","64,05%","64,30%","63,30%",HYPE3
MARGEM EBIT,"29,18%","31,81%","32,90%","33,15%","32,26%","32,95%",HYPE3
MARGEM EBITDA,"32,72%","34,82%","34,73%","30,38%","34,20%","35,48%",HYPE3
EV/EBITDA,736,1089,1350,1274,1606,1862,HYPE3
EV/EBIT,826,1192,1425,1168,1703,2005,HYPE3
P/EBITDA,458,822,1092,993,1551,1934,HYPE3
